time,site_id,source,counter,value
24-11-2025 6.00,E6150G2_C6610,EthernetPort=TN_A,ifHCInBroadcastPkts,593
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmOutputCurrent,0.117647
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmOutputCurrent,0.617647
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputCurrent,9.681818
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputCurrent,0
24-11-2025 6.00,E6160_C6610,EnergyMeter=Blvd-1,pmMinPowerConsumption,83
24-11-2025 6.00,E6160_C6610,EnergyMeter=1,pmMinPowerConsumption,92
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=DcBranch-1,pmMinPowerConsumption,257
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=Blvd-1,pmMinPowerConsumption,54
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmMinPowerConsumption,54
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmMinPowerConsumption,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_3,pmMinPower,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_2,pmMinPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_1,pmMinPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputVoltage,578.036364
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputVoltage,577
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmOutputPower,33.352941
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputPower,505.518182
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputPower,0
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmOutputEnergy,0
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmOutputEnergy,0
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputEnergy,0
24-11-2025 6.00,E6160_C6610,EnergyMeter=Blvd-1,pmMaxPowerConsumption,88
24-11-2025 6.00,E6160_C6610,EnergyMeter=1,pmMaxPowerConsumption,122
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=DcBranch-1,pmMaxPowerConsumption,305
24-11-2025 6.00,E6150G2_C6610,EnergyStorage=1,pmEnergyStorageEnergyAccumulated,1
24-11-2025 6.00,E6150G2_C6610,EnergyStorage=1,pmEnergyStorageChargeEnergy,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_3,pmEnergy,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_2,pmEnergy,1
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_1,pmEnergy,1
24-11-2025 6.00,E6160_C6610,Battery=1,pmDisconnectsAtCharge,1
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDisconnectsAtCharge,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDisconnectsAtCharge,0
24-11-2025 6.00,E6160_C6610,BatteryBackup=1,pmDischargingEnergy,0
24-11-2025 6.00,E6160_C6610,Battery=1,pmDischargingEnergy,0
24-11-2025 6.00,E6150G2_C6610,BatteryBackup=1,pmDischargingEnergy,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDischargingEnergy,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDischargingEnergy,0
24-11-2025 6.00,E6160_C6610,BatteryBackup=1,pmDischargeCurrentHighTime,0
24-11-2025 6.00,E6160_C6610,Battery=1,pmDischargeCurrentHighTime,0
24-11-2025 6.00,E6150G2_C6610,BatteryBackup=1,pmDischargeCurrentHighTime,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDischargeCurrentHighTime,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmDischargeCurrentHighTime,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmDcDcConverterState,0
24-11-2025 6.00,E6160_C6610,EnergyStorage=1,pmEnergyStorageEnergyAccumulated,7
24-11-2025 6.00,E6150G2_C6610,EnergyStorage=1,pmEnergyStoragePower,0
24-11-2025 6.00,E6160_C6610,EnergyStorage=1,pmEnergyStoragePower,0
24-11-2025 6.00,E6150G2_C6610,Battery=1,pmFullDischargeCycles,27
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=Blvd-1,pmMaxPowerConsumption,327
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmMaxPowerConsumption,597
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmMaxPowerConsumption,2
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_3,pmMaxPower,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_2,pmMaxPower,6
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_1,pmMaxPower,11
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmInputVoltage,2310.911765
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmInputVoltage,2311
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmInputVoltage,2310
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputVoltage,520.381818
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmInputVoltage,2306
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmInputVoltage,2300.781818
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmInputVoltage,2297.036364
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmInputVoltage,2301.918182
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmInputVoltage,2303.754545
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmInputVoltage,521.690909
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmInputVoltage,522.018182
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmInputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmInputCurrent,0
24-11-2025 6.00,E6160_C6610,Battery=1,pmFullDischargeCycles,5
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmInputVoltage,2298.072727
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputVoltage,520.590909
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputVoltage,520.4
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputVoltage,520.081818
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmTotalRunningHours,65
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmTotalRunningHours,65
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmTotalRunningHours,129
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmTotalRunningHours,165
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmTotalRunningHours,129
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmTotalRunningHours,162
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmTotalRunningHours,165
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmTotalRunningHours,156
24-11-2025 6.00,E6160_C6610,PowerProfile=1,pmTotalEnergyConsumption,186007
24-11-2025 6.00,E6150G2_C6610,PowerProfile=1,pmTotalEnergyConsumption,308740
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmTemperature,20
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmTemperature,21
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmTemperature,20.264706
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmTemperature,18
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmTemperature,22.345455
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmTemperature,17.736364
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmTemperature,21.181818
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmTemperature,26.163636
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmTemperature,17.309091
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmTotalRunningHours,65
24-11-2025 6.00,E6150G2_C6610,FieldReplaceableUnit=Controller6610,pmUnitTemperatureLevel,4
24-11-2025 6.00,E6160_C6610,FieldReplaceableUnit=Controller6610,pmUnitTemperatureLevel,1.333333
24-11-2025 6.00,E6150G2_C6610,DcBooster=1,pmUtilization,0
24-11-2025 6.00,E6160_C6610,EnergyMeter=Blvd-1,pmVoltage,55
24-11-2025 6.00,E6160_C6610,EnergyMeter=1,pmVoltage,55
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=DcBranch-1,pmVoltage,52
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=Blvd-1,pmVoltage,52
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmVoltage,52
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmVoltage,52.018018
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_3,pmVoltage,584.209091
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_2,pmVoltage,584.209091
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_1,pmVoltage,584.209091
24-11-2025 6.00,E6160_C6610,TimeConfiguredPeakLoadShifting=1,pmTcplsDischargePower,0
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmUtilization,0.235294
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmUtilization,14.472727
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmUtilization,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmUtilization,0
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmUtilization,1.235294
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmDcDcConverterState,0
24-11-2025 6.00,E6150G2_C6610,TimeConfiguredPeakLoadShifting=1,pmTcplsDischargePower,0
24-11-2025 6.00,E6150G2_C6610,TimeConfiguredPeakLoadShifting=1,pmTcplsDischargeEnergyAccumulated,0
24-11-2025 6.00,E6160_C6610,EnergyMeter=1,pmPowerConsumption,105.714286
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=DcBranch-1,pmPowerConsumption,282.043478
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=Blvd-1,pmPowerConsumption,258.558559
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmPowerConsumption,501.108108
24-11-2025 6.00,E6150G2_C6610,EnergyMeter=1,pmPowerConsumption,0.855856
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_3,pmPower,0
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_2,pmPower,5.945455
24-11-2025 6.00,E6150G2_C6610,PowerMeter=Output_1,pmPower,5.745455
24-11-2025 6.00,E6150G2_C6610,PowerConfiguredPeakShaving=1,pmPcpsDischargePower,0
24-11-2025 6.00,E6150G2_C6610,PowerConfiguredPeakShaving=1,pmPcpsDischargeEnergyAccumulated,1
24-11-2025 6.00,E6150G2_C6610,PowerConfiguredPeakShaving=1,pmPcpsDischargeEnergy,0
