time,metric,value,SubNetwork,MeContext,ManagedElement,MeasObject
2025-11-24T06:00:00Z,ifHCInBroadcastPkts,593.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Transport=1,EthernetPort=TN_A"
2025-11-24T06:00:00Z,pmOutputCurrent,0.117647,Demo_C6610,E6160_C6610,E6160,"ManagedElement=E6160_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=3"
2025-11-24T06:00:00Z,pmOutputCurrent,0.617647,Demo_C6610,E6160_C6610,E6160,"ManagedElement=E6160_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=2"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6160_C6610,E6160,"ManagedElement=E6160_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=1"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=7"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=6"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=5"
2025-11-24T06:00:00Z,pmOutputCurrent,9.681818,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=3"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=2"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=PowerController,Rectifier=1"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=DcBooster6640_1,DcDcConverter=2"
2025-11-24T06:00:00Z,pmOutputCurrent,0.0,Demo_C6610,E6150G2_C6610,E6150G2,"ManagedElement=E6150G2_C6610,Equipment=1,FieldReplaceableUnit=DcBooster6640_1,DcDcConverter=1"
