time,site_id,source,counter,value
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmOutputCurrent,0.117647
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmOutputCurrent,0.617647
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputCurrent,9.681818
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputCurrent,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputEnergy,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputVoltage,578.036364
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputVoltage,577
24-11-2025 6.00,E6160_C6610,Rectifier=2,pmOutputPower,33.352941
24-11-2025 6.00,E6160_C6610,Rectifier=1,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=7,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=6,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=5,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=3,pmOutputPower,505.518182
24-11-2025 6.00,E6150G2_C6610,Rectifier=2,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,Rectifier=1,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=2,pmOutputPower,0
24-11-2025 6.00,E6150G2_C6610,DcDcConverter=1,pmOutputPower,0
24-11-2025 6.00,E6160_C6610,Rectifier=3,pmOutputEnergy,0
